"Context Fraction","Method Name","Scenario Name","Severity Level","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100"
"0.7","sttran_gen_ant","partial",40,23.0,36.04,38.71,38.71,10.4,20.48,22.81,22.81,25.82,41.83,59.27,63.79,14.95,24.67,44.03,58.9,13.04,13.1,13.1,13.1,4.42,4.49,4.49,4.49
"0.7","sttran_gen_ant","labelnoise",20,22.48,35.63,38.2,38.2,7.33,14.06,15.61,15.61,27.15,41.55,58.18,63.2,12.65,18.4,34.7,50.24,11.58,11.66,11.66,11.66,2.83,2.87,2.87,2.87
"0.7","dsgdetr_gen_ant","full","-",22.24,33.19,35.15,35.15,8.43,14.78,16.0,16.0,24.94,38.16,56.85,62.0,13.16,20.03,38.77,56.5,16.25,17.65,17.67,17.67,5.61,6.34,6.35,6.35
"0.7","dsgdetr_gen_ant","partial",40,20.49,30.61,32.58,32.58,10.53,19.5,21.18,21.18,22.49,36.69,56.3,61.73,14.94,24.84,43.89,57.16,11.52,11.55,11.55,11.55,3.3,3.32,3.32,3.32
"0.7","dsgdetr_gen_ant","labelnoise",20,13.81,25.8,27.97,27.97,7.15,13.1,14.26,14.26,24.69,36.42,56.86,61.84,12.09,17.96,33.88,50.06,1.96,1.97,1.97,1.97,2.39,2.4,2.4,2.4
"0.7","ode","full","-",18.97,32.01,37.93,37.95,6.67,13.96,18.47,18.48,31.7,42.15,55.13,60.55,16.43,24.88,40.45,52.99,15.69,19.61,20.55,20.58,5.14,7.4,8.47,8.52
"0.7","ode","partial",40,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.7","ode","labelnoise",20,19.11,32.85,39.56,39.6,6.0,12.15,15.61,15.63,33.54,43.39,55.06,60.59,14.41,20.62,34.26,48.69,12.96,14.29,14.34,14.34,3.59,3.95,3.97,3.97
"0.7","sde","full","-",19.53,32.96,39.64,39.66,7.13,14.63,19.27,19.28,33.79,43.9,56.4,61.07,17.33,26.11,42.45,54.05,15.63,19.24,19.59,19.59,5.17,7.26,7.52,7.52
"0.7","sde","partial",40,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.7","sde","labelnoise",20,19.39,32.88,39.26,39.3,6.09,12.16,15.49,15.5,33.15,43.1,55.38,60.93,14.28,21.31,35.22,50.59,12.44,13.38,13.39,13.39,3.33,3.59,3.6,3.6
"0.9","sttran_ant","full","-",19.48,33.83,36.72,36.72,8.12,16.71,18.74,18.74,28.17,42.79,63.36,68.29,15.14,23.47,42.94,61.71,14.69,18.46,18.55,18.55,7.05,10.22,10.32,10.32
"0.9","sttran_ant","partial",40,23.28,36.27,38.82,38.82,9.89,19.38,21.36,21.36,25.5,40.48,62.44,68.24,11.81,21.41,42.18,61.97,12.6,12.64,12.64,12.64,3.89,3.9,3.9,3.9
"0.9","sttran_ant","labelnoise",20,24.26,38.42,41.27,41.27,7.33,14.25,15.81,15.81,28.91,43.58,62.1,67.43,12.95,19.19,36.26,53.41,12.52,12.63,12.63,12.63,2.75,2.78,2.78,2.78
