"Context Fraction","Method Name","Scenario Name","Severity Level","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100"
"0.7","sde","partial",40,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.7","sde","labelnoise",20,50.65,53.88,53.88,53.88,18.42,21.37,21.38,21.38,60.49,75.3,82.65,83.7,25.14,40.06,64.64,82.77,19.76,19.78,19.78,19.78,5.87,5.87,5.87,5.87
"0.9","sttran_ant","full","-",56.3,58.52,58.53,58.53,22.9,25.02,25.02,25.02,72.62,87.09,93.4,93.8,36.12,54.91,81.8,94.82,32.07,32.21,32.21,32.21,9.91,10.05,10.05,10.05
"0.9","sttran_ant","partial",40,53.25,55.2,55.2,55.2,28.76,30.89,30.89,30.89,69.45,85.53,93.31,93.8,40.08,58.27,83.42,94.79,18.96,18.96,18.96,18.96,7.05,7.05,7.05,7.05
"0.9","sttran_ant","labelnoise",20,54.98,57.14,57.14,57.14,18.44,20.13,20.13,20.13,70.21,85.32,92.77,93.76,28.11,44.8,76.58,93.73,16.12,16.12,16.12,16.12,3.67,3.67,3.67,3.67
"0.9","dsgdetr_ant","full","-",47.13,49.22,49.22,49.22,23.99,26.04,26.04,26.04,68.26,86.29,93.33,93.81,36.83,54.68,80.28,94.89,18.09,18.15,18.15,18.15,9.59,9.63,9.63,9.63
"0.9","dsgdetr_ant","partial",40,50.13,52.0,52.0,52.0,28.22,30.29,30.29,30.29,66.55,85.11,93.33,93.8,39.79,56.79,83.05,94.93,16.47,16.47,16.47,16.47,6.33,6.33,6.33,6.33
"0.9","dsgdetr_ant","labelnoise",20,48.98,51.19,51.19,51.19,18.35,20.08,20.09,20.09,66.48,84.53,92.75,93.72,27.89,47.84,77.13,93.07,10.63,10.63,10.63,10.63,3.71,3.71,3.71,3.71
"0.9","sttran_gen_ant","full","-",45.49,47.81,47.81,47.81,28.77,31.26,31.26,31.26,68.73,86.83,93.53,93.81,42.47,60.78,84.82,94.89,22.15,22.6,22.6,22.6,14.15,14.68,14.68,14.68
"0.9","sttran_gen_ant","partial",40,53.92,56.03,56.03,56.03,31.93,34.38,34.38,34.38,70.53,86.22,93.46,93.8,42.95,60.98,88.55,94.74,19.36,19.36,19.36,19.36,7.96,7.96,7.96,7.96
