"Method Name","Scenario","Partial Percentage","Dataset Corruption Mode","Video Corruption Mode","Corruption Type","Severity Level","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100"
"dsgdetr","full","-","mixed","mixed","Mixed","3",27.72,28.57,28.57,28.57,16.13,17.52,17.53,17.53,33.76,41.51,44.19,44.43,25.48,31.55,40.33,44.96,31.3,35.26,35.55,35.55,18.75,25.23,25.93,25.93
"dsgdetr","partial","10","fixed","Fixed","no_corruption","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","fixed","Fixed","gaussian_noise","3",15.46,15.91,15.91,15.91,13.73,14.95,14.97,14.97,21.04,27.3,30.13,30.41,20.79,25.42,29.05,29.89,18.21,20.7,20.91,20.91,15.61,21.46,22.2,22.2
"dsgdetr","partial","10","fixed","Fixed","shot_noise","3",16.46,16.97,16.97,16.97,15.04,16.47,16.49,16.49,22.61,29.43,32.57,32.89,22.43,27.34,31.02,31.79,19.49,22.14,22.37,22.37,17.19,23.34,24.18,24.18
"dsgdetr","partial","10","fixed","Fixed","impulse_noise","3",14.63,15.11,15.12,15.12,12.38,13.66,13.68,13.68,19.45,25.34,27.93,28.16,18.46,22.8,26.19,26.76,17.31,19.82,20.06,20.06,13.93,19.25,20.08,20.08
"dsgdetr","partial","10","fixed","Fixed","speckle_noise","3",19.01,19.69,19.69,19.69,17.65,19.31,19.33,19.33,26.43,34.45,38.38,38.8,27.09,32.63,37.26,38.21,22.46,25.75,26.05,26.05,20.45,27.81,28.87,28.87
"dsgdetr","partial","10","fixed","Fixed","gaussian_blur","3",28.69,29.76,29.76,29.76,26.15,28.72,28.75,28.75,39.43,51.99,57.78,58.33,39.52,48.81,58.2,59.79,33.63,38.91,39.42,39.42,29.36,40.75,42.52,42.52
"dsgdetr","partial","10","fixed","Fixed","defocus_blur","3",28.49,29.58,29.58,29.58,25.55,28.12,28.14,28.14,38.96,51.41,57.27,57.78,38.62,47.72,57.05,58.44,33.24,38.54,39.04,39.04,28.72,39.99,41.67,41.67
"dsgdetr","partial","10","fixed","Fixed","motion_blur","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","fixed","Fixed","zoom_blur","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
