"Method Name","Scenario","Partial Percentage","Dataset Corruption Mode","Video Corruption Mode","Corruption Type","Severity Level","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100"
"dsgdetr","full","-","fixed","Fixed","contrast","3",64.66,68.22,68.24,68.24,32.7,37.7,37.81,37.81,75.01,92.9,99.03,99.88,48.54,64.15,80.56,95.78,69.98,79.03,79.63,79.63,38.04,52.03,53.46,53.46
"dsgdetr","full","-","fixed","Fixed","brightness","3",66.85,70.53,70.56,70.56,33.24,38.5,38.61,38.61,76.09,93.56,99.08,99.88,49.25,64.92,80.66,95.71,71.91,81.44,82.09,82.09,38.8,53.57,55.16,55.16
"dsgdetr","full","-","fixed","Fixed","elastic_transform","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","full","-","fixed","Fixed","pixelate","3",64.32,67.84,67.86,67.86,31.8,36.25,36.34,36.34,74.83,92.91,99.07,99.88,47.08,63.28,80.39,95.49,69.49,78.9,79.55,79.55,37.01,50.69,52.17,52.17
"dsgdetr","full","-","fixed","Fixed","jpeg_compression","3",63.81,67.32,67.35,67.35,31.29,35.99,36.1,36.1,74.28,92.66,99.07,99.88,46.66,63.21,80.41,95.65,69.15,78.85,79.56,79.56,36.43,50.5,52.1,52.1
"dsgdetr","full","-","fixed","Fixed","sun_glare","3",59.88,62.94,62.96,62.96,29.58,33.89,34.0,34.0,72.2,91.61,98.94,99.87,44.16,60.8,79.86,95.51,65.93,74.21,74.71,74.71,34.1,45.9,47.05,47.05
"dsgdetr","full","-","fixed","Fixed","rain","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","full","-","fixed","Fixed","dust","3",60.51,63.78,63.8,63.8,30.52,35.29,35.4,35.4,72.35,91.65,99.01,99.88,45.39,61.65,79.9,95.43,66.51,75.42,76.02,76.02,35.18,48.2,49.58,49.58
"dsgdetr","full","-","fixed","Fixed","wildfire_smoke","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","full","-","fixed","Fixed","saturate","3",67.48,71.19,71.22,71.22,33.57,38.93,39.05,39.05,76.4,93.69,99.09,99.89,49.78,65.34,80.73,95.83,72.64,82.26,82.93,82.93,39.35,54.53,56.25,56.25
"dsgdetr","full","-","fixed","Fixed","glass_blur","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","full","-","mixed","fixed","Mixed","3",64.82,68.37,68.4,68.4,32.55,37.62,37.73,37.73,75.14,93.07,99.04,99.88,48.55,64.53,80.52,95.71,70.16,79.46,80.09,80.09,38.06,52.46,53.93,53.93
"dsgdetr","full","-","mixed","mixed","Mixed","3",61.63,64.98,65.0,65.0,31.13,35.9,36.0,36.0,73.36,92.17,99.01,99.88,46.64,63.0,80.13,95.16,67.26,76.33,76.92,76.92,36.06,49.56,50.87,50.87
"dsgdetr","partial","10","fixed","Fixed","no_corruption","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","fixed","Fixed","gaussian_noise","3",47.36,50.13,50.15,50.15,37.4,43.66,43.81,43.81,63.23,84.7,98.75,99.92,56.65,74.55,89.06,98.23,55.68,67.62,69.36,69.36,40.9,61.87,66.56,66.56
