"Context Fraction","Method Name","Scenario Name","Severity Level","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100"
"0.7","sttran_gen_ant","labelnoise",20,26.2,27.2,27.2,27.2,13.55,14.42,14.42,14.42,39.9,53.57,59.12,59.65,20.13,31.92,50.3,58.41,2.63,2.63,2.63,2.63,2.6,2.6,2.6,2.6
"0.7","dsgdetr_gen_ant","full","-",37.27,38.45,38.45,38.45,18.08,19.39,19.39,19.39,47.7,58.07,62.43,62.61,24.83,39.46,57.27,61.09,16.45,16.47,16.47,16.47,5.41,5.43,5.43,5.43
"0.7","dsgdetr_gen_ant","partial",40,33.87,34.89,34.89,34.89,20.64,21.81,21.81,21.81,44.28,55.9,61.17,61.37,26.31,40.96,58.14,61.85,11.97,11.97,11.97,11.97,3.74,3.74,3.74,3.74
"0.7","dsgdetr_gen_ant","labelnoise",20,31.42,32.52,32.52,32.52,14.42,15.5,15.5,15.5,41.67,55.1,61.28,61.96,19.19,32.81,52.53,62.42,6.5,6.5,6.5,6.5,2.27,2.27,2.27,2.27
"0.7","ode","full","-",30.82,32.16,32.17,32.17,13.63,15.14,15.14,15.14,40.86,53.03,60.37,61.56,20.48,32.39,52.8,60.09,8.41,8.41,8.41,8.41,3.74,3.74,3.74,3.74
"0.7","ode","partial",40,37.19,38.71,38.71,38.71,16.89,18.74,18.75,18.75,46.05,55.97,61.17,61.91,27.05,40.05,56.38,61.18,23.16,23.38,23.39,23.39,9.54,9.77,9.78,9.78
"0.7","ode","labelnoise",20,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.7","sde","full","-",38.79,40.34,40.34,40.34,17.87,19.91,19.91,19.91,47.38,57.04,61.9,62.47,27.03,40.23,57.16,61.69,21.93,22.03,22.03,22.03,7.96,8.05,8.05,8.05
"0.7","sde","partial",40,38.4,39.95,39.96,39.96,18.81,20.73,20.74,20.74,47.32,56.93,61.99,62.57,28.37,40.54,57.9,63.45,19.66,19.77,19.77,19.77,8.4,8.57,8.57,8.57
"0.7","sde","labelnoise",20,37.3,38.77,38.77,38.77,14.93,16.59,16.6,16.6,45.45,54.96,60.51,61.78,21.43,32.7,50.97,60.36,14.37,14.37,14.37,14.37,4.18,4.18,4.18,4.18
"0.9","sttran_ant","full","-",30.54,31.29,31.29,31.29,18.38,19.57,19.57,19.57,49.54,61.47,64.73,64.84,30.01,44.05,60.01,62.61,13.5,13.57,13.57,13.57,7.66,7.77,7.77,7.77
"0.9","sttran_ant","partial",40,39.43,40.12,40.12,40.12,22.32,23.51,23.51,23.51,51.64,61.23,64.56,64.68,31.45,45.75,62.57,64.6,12.05,12.05,12.05,12.05,3.98,3.98,3.98,3.98
"0.9","sttran_ant","labelnoise",20,38.23,38.96,38.96,38.96,14.98,15.82,15.82,15.82,49.73,59.85,64.32,64.8,21.69,34.94,55.08,63.19,11.5,11.5,11.5,11.5,2.55,2.55,2.55,2.55
"0.9","dsgdetr_ant","full","-",31.96,32.85,32.85,32.85,18.26,19.45,19.45,19.45,50.78,64.88,69.26,69.43,30.92,45.43,63.31,67.98,9.58,9.63,9.63,9.63,8.41,8.48,8.48,8.48
"0.9","dsgdetr_ant","partial",40,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.9","dsgdetr_ant","labelnoise",20,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.9","sttran_gen_ant","full","-",31.02,31.8,31.8,31.8,21.23,22.46,22.46,22.46,50.02,61.61,64.37,64.45,32.43,46.89,60.6,62.65,13.62,13.65,13.65,13.65,7.85,7.89,7.89,7.89
"0.9","sttran_gen_ant","partial",40,39.86,40.61,40.61,40.61,26.63,28.1,28.1,28.1,53.28,62.22,65.03,65.12,36.76,49.65,62.08,63.42,14.67,14.67,14.67,14.67,6.69,6.69,6.69,6.69
"0.9","sttran_gen_ant","labelnoise",20,29.78,30.47,30.47,30.47,15.3,15.99,15.99,15.99,48.02,60.35,64.47,64.89,24.1,37.95,55.63,62.59,4.1,4.1,4.1,4.1,3.11,3.11,3.11,3.11
"0.9","dsgdetr_gen_ant","full","-",43.08,43.97,43.97,43.97,22.22,23.44,23.44,23.44,57.11,66.4,69.39,69.5,33.01,49.02,64.19,68.25,21.33,21.36,21.36,21.36,7.51,7.54,7.54,7.54
"0.9","dsgdetr_gen_ant","partial",40,39.61,40.45,40.45,40.45,26.16,27.49,27.49,27.49,54.33,65.0,68.64,68.79,35.67,51.48,65.65,69.26,14.12,14.12,14.12,14.12,5.21,5.21,5.21,5.21
"0.9","dsgdetr_gen_ant","labelnoise",20,36.46,37.36,37.36,37.36,17.87,19.1,19.1,19.1,51.26,63.76,68.5,69.09,24.9,40.68,59.98,69.84,7.75,7.75,7.75,7.75,2.9,2.9,2.9,2.9
"0.9","ode","full","-",36.65,37.63,37.64,37.64,16.57,17.93,17.94,17.94,50.56,61.95,68.54,69.73,27.38,41.7,61.11,69.29,10.25,10.25,10.25,10.25,4.4,4.4,4.4,4.4
"0.9","ode","partial",40,42.74,43.84,43.84,43.84,19.37,20.94,20.94,20.94,54.73,64.26,68.76,69.45,32.88,46.62,62.0,69.11,26.86,27.02,27.02,27.02,10.93,11.14,11.14,11.14
"0.9","ode","labelnoise",20,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.9","sde","full","-",44.42,45.54,45.55,45.55,21.01,22.64,22.65,22.65,56.29,65.69,69.53,70.03,33.18,48.19,64.28,69.46,24.76,24.88,24.88,24.88,8.94,9.09,9.09,9.09
"0.9","sde","partial",40,44.74,45.88,45.88,45.88,21.78,23.46,23.46,23.46,56.3,65.71,69.94,70.56,34.1,48.1,65.71,71.84,22.47,22.56,22.56,22.56,9.47,9.59,9.59,9.59
"0.9","sde","labelnoise",20,43.2,44.3,44.3,44.3,17.22,18.67,18.67,18.67,53.92,63.49,68.73,69.75,25.91,40.7,59.12,68.78,17.1,17.1,17.1,17.1,4.96,4.96,4.96,4.96
