"Context Fraction","Method Name","Scenario Name","Partial Percentage","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100"
"0.7","dsgdetr_gen_ant","full","-",22.24,33.19,35.15,35.15,24.94,38.16,56.85,62.0,16.25,17.65,17.67,17.67,37.27,38.45,38.45,38.45,47.7,58.07,62.43,62.61,16.45,16.47,16.47,16.47,48.54,51.79,51.8,51.8,59.57,76.07,83.36,83.81,20.43,20.5,20.5,20.5
"0.7","dsgdetr_gen_ant","partial","10",20.18,28.13,29.55,29.55,22.19,35.67,55.98,62.09,10.96,10.99,10.99,10.99,33.44,34.45,34.45,34.45,42.75,55.6,62.05,62.34,11.68,11.68,11.68,11.68,40.66,43.07,43.08,43.08,50.42,70.91,82.8,83.81,11.92,11.92,11.92,11.92
"0.7","ode","full","-",18.97,32.01,37.93,37.95,31.7,42.15,55.13,60.55,15.69,19.61,20.55,20.58,30.82,32.16,32.17,32.17,40.86,53.03,60.37,61.56,8.41,8.41,8.41,8.41,48.5,51.46,51.47,51.47,58.48,74.02,82.8,83.79,27.61,27.89,27.92,27.92
"0.7","ode","partial","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.7","sde","full","-",19.53,32.96,39.64,39.66,33.79,43.9,56.4,61.07,15.63,19.24,19.59,19.59,38.79,40.34,40.34,40.34,47.38,57.04,61.9,62.47,21.93,22.03,22.03,22.03,50.85,54.09,54.1,54.1,61.39,76.19,83.27,83.81,28.21,28.41,28.41,28.41
"0.7","sde","partial","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.9","sttran_ant","full","-",19.48,33.83,36.72,36.72,28.17,42.79,63.36,68.29,14.69,18.46,18.55,18.55,30.54,31.29,31.29,31.29,49.54,61.47,64.73,64.84,13.5,13.57,13.57,13.57,56.3,58.52,58.53,58.53,72.62,87.09,93.4,93.8,32.07,32.21,32.21,32.21
"0.9","sttran_ant","partial","10",23.28,32.59,34.21,34.21,25.37,39.31,59.84,67.84,13.26,13.31,13.31,13.31,30.95,31.47,31.47,31.47,45.61,58.35,64.63,64.86,11.07,11.07,11.07,11.07,43.78,44.91,44.91,44.91,62.77,81.7,93.15,93.79,17.33,17.33,17.33,17.33
"0.9","dsgdetr_ant","full","-",15.62,29.41,31.59,31.59,28.64,40.69,62.89,66.99,9.5,11.28,11.3,11.3,31.96,32.85,32.85,32.85,50.78,64.88,69.26,69.43,9.58,9.63,9.63,9.63,47.13,49.22,49.22,49.22,68.26,86.29,93.33,93.81,18.09,18.15,18.15,18.15
"0.9","dsgdetr_ant","partial","10",22.98,31.14,32.18,32.18,25.92,38.09,57.37,66.59,12.01,12.06,12.06,12.06,35.89,36.53,36.53,36.53,49.57,63.19,69.3,69.55,12.61,12.61,12.61,12.61,43.73,45.03,45.03,45.03,60.89,81.19,93.29,93.79,15.22,15.22,15.22,15.22
"0.9","sttran_gen_ant","full","-",24.56,39.81,42.9,42.9,30.21,45.79,64.43,68.44,18.97,21.89,21.92,21.92,31.02,31.8,31.8,31.8,50.02,61.61,64.37,64.45,13.62,13.65,13.65,13.65,45.49,47.81,47.81,47.81,68.73,86.83,93.53,93.81,22.15,22.6,22.6,22.6
"0.9","sttran_gen_ant","partial","10",23.62,35.62,37.93,37.93,26.31,40.72,60.9,67.98,14.59,14.71,14.71,14.71,32.69,33.2,33.2,33.2,48.2,60.52,64.93,65.08,12.18,12.18,12.18,12.18,50.9,52.73,52.73,52.73,67.49,85.25,93.42,93.81,15.59,15.59,15.59,15.59
"0.9","dsgdetr_gen_ant","full","-",24.75,37.52,39.73,39.73,28.74,43.35,62.66,67.12,19.97,22.19,22.2,22.2,43.08,43.97,43.97,43.97,57.11,66.4,69.39,69.5,21.33,21.36,21.36,21.36,57.73,60.01,60.01,60.01,73.62,88.3,93.5,93.81,26.26,26.39,26.39,26.39
"0.9","dsgdetr_gen_ant","partial","10",23.05,32.29,33.92,33.92,26.21,40.61,61.36,67.58,12.59,12.63,12.63,12.63,38.47,39.16,39.16,39.16,52.59,64.31,68.96,69.2,13.84,13.84,13.84,13.84,46.08,47.59,47.59,47.59,63.86,83.92,93.33,93.8,14.17,14.17,14.17,14.17
"0.9","ode","full","-",20.98,36.01,43.21,43.24,37.77,49.08,61.4,66.16,16.35,19.25,19.56,19.56,36.65,37.63,37.64,37.64,50.56,61.95,68.54,69.73,10.25,10.25,10.25,10.25,58.51,60.64,60.64,60.64,73.02,87.17,93.31,93.79,29.92,30.02,30.02,30.02
"0.9","ode","partial","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.9","sde","full","-",20.97,36.35,43.89,43.95,38.55,49.9,61.88,66.49,17.62,21.96,22.44,22.44,44.42,45.54,45.55,45.55,56.29,65.69,69.53,70.03,24.76,24.88,24.88,24.88,59.03,61.24,61.24,61.24,73.72,87.31,93.34,93.8,31.32,31.47,31.47,31.47
"0.9","sde","partial","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
